Label,Lyrics
2,"Je me léve a 14h du mat j'ai pas la niak j'suis trop khabat
J'allume une clope j'prend mon café ta fais les pas ma tasse de thé





Quoi d'neuf rien ouais, quoi d'neuf
Quoi d'neuf rien ouais, quoi d'neuf

Chacun sa merde chacun sa mère je traine en bas y a rien a faire
J'ai l'habitude des p'tits salaire normal que je parle de galére
Chacun sa merde chacun sa mère je traine en bas y a rien a faire
J'ai l'habitude des p'tits salaire normal que je parle de galére
Ye-hi-yeh
Quoi d'neuf rien ouais, quoi d'neuf
Ye-hi-yeh
Quoi d'neuf rien ouais, quoi d'neuf
Ye-hi-yeh
Quoi d'neuf rien ouais, quoi d'neuf
Ye-hi-yeh




Quoi d'neuf rien ouais, quoi d'neuf

Ma mére me soul, me prend la tê-tê-tê-tête
Va travaille pour payé tes dé-dé-dé-dette
Moi je m'endé-dé-dé-dette
Tu fais la tête, je fais la fête
Tu prend des cachets pour dormir les jeunes
Se drogues c'est la même chose
De toute façon on créveras tous de cancers ou d'une overdose
Ya plus de forfait plus de gazouale
Ta carte bleue ne passe plus
Le compte en l'air, a découvert
Le banquier m'appel j'le calcul plus
La boîte aux lettres est rempli de courier
1O mois de loyer impayé
L'hiver arrive j'connais mes droits y pourrons jamais me virer




 
Chacun sa merde chacun sa mère je traine en bas y a rien a faire
J'ai l'habitude des p'tits salaire normal que je parle de galére
Chacun sa merde chacun sa mère je traine en bas y a rien a faire
J'ai l'habitude des p'tits salaire normal que je parle de galére
Ye-hi-yeh
Quoi d'neuf rien ouais, quoi d'neuf
Ye-hi-yeh
Quoi d'neuf rien ouais, quoi d'neuf
Ye-hi-yeh
Quoi d'neuf rien ouais, quoi d'neuf
Ye-hi-yeh
Quoi d'neuf rien ouais, quoi d'neuf





Wesh khay, il faut de l'oseil
Je pense tellement à faire des tunes
J'en perd le sommeil
Wesh khay, il faut de l'oseil
Je pense tellement à faire des tunes
J'en perd le sommeil

J'ai un probléme avec les femmes elle m'trouve charmant mais pas serieux
C'est des statuts de nos jours l'amour s'résume qu'à des sauts périeux
T'as pas d'argent on t'respecte pas, la vie est ainsi faite mon gars
Tu prend ton bus et ton métro t'écoute l'Algé dans le mp3

Quoi d'neuf rien ouais, quoi d'neuf
Quoi d'neuf rien ouais, quoi d'neuf





 
Chacun sa merde chacun sa mère je traine en bas y a rien a faire
J'ai l'habitude des p'tits salaire normal que je parle de galére
Chacun sa merde chacun sa mère je traine en bas y a rien a faire
J'ai l'habitude des p'tits salaire normal que je parle de galére
Ye-hi-yeh
Quoi d'neuf rien ouais, quoi d'neuf
Ye-hi-yeh
Quoi d'neuf rien ouais, quoi d'neuf
Ye-hi-yeh
Quoi d'neuf rien ouais, quoi d'neuf
Ye-hi-yeh
Quoi d'neuf rien ouais, quoi d'neuf





Qu'est que tu veut que je dise de plus
Les factures m'attendent les crédits aussi
Noyé dans les dettes, mal a la tête
Chacun ces blemes chacun ces soucis
Le temps qui fais dehors a l'imagine de ma vie
J'suis un chien airant dans la ville
J'me sens seul sauf que je prie
J'attend toujours que les étoiles brillent
On prend du fer, on a la flemme d'aller taffé pour un salaire de merde excuser moi du terme marre de ce partager les miens
Les APL, le RSA rien a foutre de votre racistana
J'prefére être un artiste plus assuré par le CSA

Chacun sa merde chacun sa mère je traine en bas y a rien a faire
J'ai l'habitude des p'tits salaire normal que je parle de galére




Chacun sa merde chacun sa mère je traine en bas y a rien a faire
J'ai l'habitude des p'tits salaire normal que je parle de galére
Ye-hi-yeh
Quoi d'neuf rien ouais, quoi d'neuf
Ye-hi-yeh
Quoi d'neuf rien ouais, quoi d'neuf
Ye-hi-yeh
Quoi d'neuf rien ouais, quoi d'neuf
Ye-hi-yeh
Quoi d'neuf rien ouais, quoi d'neuf 





 


				Paroles2Chansons dispose d’un accord de licence de paroles de chansons avec la Société des Editeurs et Auteurs de Musique (SEAM)"
2,"Rain’b fever 3, Selma, Cheb Bilal, Dj Kore, Belek

Every time I close my eyes I can see
That someday I’ll finally reach my dream




I swear I will make it my baby houuu
And one day I will find my way
Cause I am strong enough today
I’ll show everyone I’ll never let down
You know you can trust in me
You will see

Dancing on this melody you can feel the rhythm of my heart and soul singing.

Every time I look around I am free
Even if the fire burning my wings
I know I will face it oh baby
Everybody says that I will fall down on my knees
Everybody thinks someday I will come back home telling please
I’ll never turn back, I want you to know





Dancing on this melody you can feel the rhythm of my heart and soul singing.

I’ll never leave the fight
Never stop to believe, to believe
I want to be the one to change my own destiny

Dancing on this melody you can feel the rhythm of my heart and soul singing. 





 


				Paroles2Chansons dispose d’un accord de licence de paroles de chansons avec la Société des Editeurs et Auteurs de Musique (SEAM)"
2,"Toto Beats

W ya lbahri Lah yahdik
Herregni 3lik mlouma
F sari3 nokhrej m l'Afrique




Roma wala ntouma

Ye-le-ye-le-ye-le, ye-le-ye-le-ye-le
Ye-le-ye-le-ye-le, ye-le-ye-le-ye-le
J'fais aller sans retour, j'fais aller sans retour
J'ai quitté mon amour, j't'ai quitté pour toujours

Rani me9hor, rani me7gor
7ayeb aller sans retour
Chayef l'avenir ghir fel port
Khouya, la vie, c'est pas facile
Mourir en mer, c'est du suicide
Là, c'est ta vie qu'tu sacrifies (Na-na-na-na)
Ana hnaya ma re7mounich
Nriski nmout bach n3ich
Ya l3ziza ma tebkich




 
Comme toi, y en a des milliers, ils les ont déjà oublié
Ya raye7 te3ya w twelli

W ya lbahri Lah yahdik
Herregni 3lik mlouma
F sari3 nokhrej m l'Afrique
Roma wala ntouma

Ye-le-ye-le-ye-le, ye-le-ye-le-ye-le
Ye-le-ye-le-ye-le, ye-le-ye-le-ye-le
J'fais aller sans retour, j'fais aller sans retour
J'ai quitté mon amour, j't'ai quitté pour toujours
J'fais aller sans retour, j'fais aller sans retour




J'ai quitté mon amour, j't'ai quitté pour toujours

Sem7ouli, j'ai vu mes rêves s'envoler
Comme un bateau qui coulait
Des jeunes qui meurent en s'enfuyant
C'est fini, si j'prends la mer, c'est fini (Ouais)
Ya lmouja win termini?
C'est fini w ya 7lili (Eh)

Un peu d'amour, un peu plus de papier
Mama, t'as prié, tes prières, c'est mon billet
Un peu d'amour, un peu plus de papier
Mama, t'as prié, tes prières, c'est mon billet (Na-na-na)

W ya lbahri Lah yahdik




Herregni 3lik mlouma
F sari3 nokhrej m l'Afrique
Roma wala ntouma

Ye-le-ye-le-ye-le, ye-le-ye-le-ye-le
Ye-le-ye-le-ye-le, ye-le-ye-le-ye-le
J'fais aller sans retour, j'fais aller sans retour
J'ai quitté mon amour, j't'ai quitté pour toujours

Ouh-ouh-ouh-ouh-ouh
 





 

Traduction Ya Ibahri - Soolking

Toto Beats 

Oh Marin s’il te plait 
Fais-moi traverser la mer 
Je veux quitter l'afrique dans un bateau rapide 




Je préfère vivre à Rome qu’avec vous  

Ye-le-ye-le-ye-le, ye-le-ye-le-ye-le
Ye-le-ye-le-ye-le, ye-le-ye-le-ye-le
J'fais aller sans retour, j'fais aller sans retour
J'ai quitté mon amour, j't'ai quitté pour toujours

Je ne vais pas bien
Je veux faire un aller sans retour
Je ne vois mon avenir qu’au port 
Frère, la vie, c'est pas facile
Mourir en mer, c'est du suicide
Là, c'est ta vie qu'tu sacrifies (Na-na-na-na)
On ne m’a pas donné ma chance ici 
Je risque de mourir pour pouvoir vivre 
Maman ne pleure pas 




 
Comme toi, y en a des milliers, ils les ont déjà oublié
Tu finiras par revenir 

Oh Marin s’il te plait 
Fais-moi traverser la mer 
Je veux quitter l'afrique dans un bateau rapide 
Je préfère vivre à Rome qu’avec vous 

Ye-le-ye-le-ye-le, ye-le-ye-le-ye-le
Ye-le-ye-le-ye-le, ye-le-ye-le-ye-le
J'fais aller sans retour, j'fais aller sans retour
J'ai quitté mon amour, j't'ai quitté pour toujours
J'fais aller sans retour, j'fais aller sans retour




J'ai quitté mon amour, j't'ai quitté pour toujours

Pardonnez-moi, j'ai vu mes rêves s'envoler 
Comme un bateau qui coulait 
Des jeunes qui meurent en s'enfuyant
C'est fini, si j’prends la mer, c'est fini (Ouais)
Je ne sais où je vais me retrouver 
C'est fini, c’est plus fort que moi (Eh) 

Un peu d'amour, un peu plus de papier
Mama, t'as prié, tes prières, c'est mon billet
Un peu d'amour, un peu plus de papier
Mama, t'as prié, tes prières, c'est mon billet (Na-na-na)

Oh Marin s’il te plait 




Fais-moi traverser la mer 
Je veux quitter l'afrique dans un bateau rapide 
Je préfère vivre à Rome qu’avec vous 

Ye-le-ye-le-ye-le, ye-le-ye-le-ye-le
Ye-le-ye-le-ye-le, ye-le-ye-le-ye-le
J'fais aller sans retour, j'fais aller sans retour
J'ai quitté mon amour, j't'ai quitté pour toujours

Ouh-ouh-ouh-ouh-ouh
 





 


				Paroles2Chansons dispose d’un accord de licence de paroles de chansons avec la Société des Editeurs et Auteurs de Musique (SEAM)"
2,"[Soolking]
Besoin de lovés, besoin de lovés, besoin de love
Besoin de lovés, pas besoin de love
Personne pour me sauver si je tombe dans la gueule du loup, ah




 
[Soolking & Cheb Mami]
Ça fait des années, des années que les fleurs ont fané (ouh, yeah, eh)
Ana megwani, w yesrali hagda, ana megwani (comme ça, oui)
Ça fait des années, des années qu'ils nous ont condamnés (ouh, yeah, eh)
Ana megwani, sbabi niyti, ana megwani (comme ça, oui)

[Soolking]
Besoin de lovés, pas besoin de love
Personne pour me sauver si je tombe dans la gueule du loup (ah)
Quand mon heure va sonner, je répondrai à l'appel
Enterrez-moi à la son-mai, la clé d'chez moi s'ra une simple pelle, ah




La roue tourne, j'négocie les virages, t'as voulu m'noyer, tu m'as appris à nager
Le soleil viendra après l'orage, on était fous, aujourd'hui, on s'est assagis
Quand tu croiras qu'c'est fini, le destin te frappera encore
Plus fort
Et quand Dieu t'aura béni, y aura plus personne pour te causer
Du tort

[Soolking & Cheb Mami]
Ça fait des années, des années que les fleurs ont fané (ouh, yeah, eh)
Ana megwani,w yesrali hagda, ana megwani (comme ça, oui)
Ça fait des années, des années qu'ils nous ont condamnés (ouh, yeah, eh)




Ana megwani, sbabi niyti, ana megwani (comme ça, oui)

[Cheb Mami]
Machi gherdi ya li biya
Choufi denya daret 3liya
Chbabi w soghri rah 3liya
Sbabi niyti, ha li biya
Ma 3endi wali
Ana manichi ghali, ha dellali
Ketret hwali
Men sbabek rahet denya
Gouli winta twelli liya
Rani f le3dab zadet lkiya
Malek ha zhar dort 3liya?
Men sbabek ghabet niya
Men sbabek ghabet niya
W hadi denya daret 3liya




 
[Soolking & Cheb Mami]
Ça fait des années, des années que les fleurs ont fané (ouh, yeah, eh)
Ana megwani, w yesrali hagda, ana megwani (comme ça, oui)
Ça fait des années, des années qu'ils nous ont condamnés (ouh, yeah, eh)
Ana megwani, sbabi niyti, ana megwani (comme ça, oui)

[Soolking & Cheb Mami]
Parisien du nord, clando d'abord
Actif dans la musique sans passeport
Africain du nord, clando d'abord
Actif dans la musique sans passeport
Ana megwani, w yesrali hagda, ana megwani
Maghrébin du nord, clando d'abord





Ana megwani, sbabi niyti, ana megwani
Actif dans la musique sans passeport

[Soolking & Cheb Mami]
Ça fait des années, des années que les fleurs ont fané (ouh, yeah, eh)
Ana megwani, w yesrali hagda, ana megwani (comme ça, oui)
Ça fait des années, des années qu'ils nous ont condamnés (ouh, yeah, eh)
Ana megwani, sbabi niyti, ana megwani (comme ça, oui)

[ Soolking & Cheb Mami]
Ça fait des années, des années qu'ils nous ont condamnés
Ana megwani, yesra fiya hagda
Ça fait des années, des années qu'ils nous ont condamnés




Ana megwani, sbabi niyti, haaa
Des années que les fleurs ont fanées (ouh, yeah, eh)
Ana megwani, w yesrali hagda, ana megwani (comme ça, oui) 





 


				Paroles2Chansons dispose d’un accord de licence de paroles de chansons avec la Société des Editeurs et Auteurs de Musique (SEAM)"
2,"[DYSTINCT]
Bah-bah-bah, bah-bah-bah
Machi khalat, ila bghitek nti
Rani malade, w fiya w ma derti
Youh, ouh, ouh, ouh, ouh




Youh, ouh, ouh, ouh, ouh
Unleaded

[DYSTINCT & Soolking]
F dem Y Dor, 7obek nti
Y Dor Y Dor, Y Dor Y Dor
C'est mon amour, yeah, et pour la vie
C'est mon amour, c'est mon amour

[DYSCINCT]
Uh-huh, eh, heh
Machi normal zinek nti
Rani nhbel 3lik nti
Mali, mali, raki fi bali
Suis-moi sur ma route, y a pas de doute
Juste à tes côtés, meziane lwa9t y fout
Bla bik mal à l'aise
Bla bik machi à l'aise




M3ak rani labess, ooh, ooh, ooh

[DYSTINCT & Soolking]
F dem Y Dor, 7obek nti
Y Dor Y Dor, Y Dor Y Dor
C'est mon amour, yeah, et pour la vie
C'est mon amour, c'est mon amour

[Soolking]
Han, han, eh, eh
Machi normal zinek nti
Elle est trop belle et trop gentille
On se connait depuis petits
Elle m'rendait déjà loco, moi, j'revois toutes nos photos
C'est la voisine d'à côté, c'est elle, mon premier amour, ah
C'est pas trop tard pour mettre la bague au doigt




C'est pas trop tard, ana wyak ndiro dar

[DYSTINCT & Soolking]
F dem Y Dor, 7obek nti
Y Dor Y Dor, Y Dor Y Dor
C'est mon amour, yeah, et pour la vie
C'est mon amour, c'est mon amour

[DYSTINCT & Soolking]
Machi khalat, ila bghitek nti
Rani malade, w fiya w ma derti
Machi ghalat, w ila bghitek nti
Machi ghalat, t'es la plus belle de la cité, yeah, yeah yeah

[DYSTINCT & Soolking]
F dem Y Dor, 7obek nti
Y Dor Y Dor, Y Dor Y Dor




C'est mon amour, yeah, et pour la vie
C'est mon amour, c'est mon amour 





 


				Paroles2Chansons dispose d’un accord de licence de paroles de chansons avec la Société des Editeurs et Auteurs de Musique (SEAM)"
2,"[Kader japonais ]
Nekhsser meli ou sahti ou yaa
Nesmah même fi hali ou yaa
Yesra li yesrali ou yaa




Yema ma troh men beli ou yaa
Nekhsser meli ou sahti ou yaa
Nesmah même fi hali ou yaa
Yesra li yesrali ou yaa
Yema ma troh men beli ou yaa
Maman avant tout
Marahich tatouée, rahi fi qalbi
Maman avant tout
Marahich tatouée, rahi fi qalbi

[Didine Canon 16]
Ya el walida 3ayitek, bel qadiyat bekitek
Chehal men cauchemar jez 3liya ghir ntiya li lqitek
Mama moumou 3iniya
Nchallah terday 3liya
Fi qalbi 100 kiya
Ou zidou jibou el boulissiya




Ghorba mourra ou ghaddara
Malqitch dik el mesrara
Majatch kima tmenit
Qablouni ghir les zombies ara
Oui c'est la vie
El mor fi qalbi gravé
Souag, Boss, trafique
Mama na3ya ou nouelli lik
Aoueh Aoueh, hata bent el sultane moualfa
Aoueh Aoueh hna li qra 3omrou la chfa
Aoueh Aoueh, saqssitou 9ali nachfa
Aoua oua oua oua oua

[Foufa Torino]
Ana ma 3liya yejebdou ma yehassou biya
Nkoun fi dalma ou nchouf el do, tbanili ntiya
Nti à part nti makach, eh 3la bali
Bla bik el denya ma tessouach, yetbedel hali




El walida, El walida, El walida
Hemoum el denya houma ynessouni fik
El walida, El walida, El walida
Ndir el mouhal ghir beh nradik
Mama avant tout
Marahich tatouée rahi fi 9albi
Mama avant tout
Marahich tatouée rahi fi 9albi

[Didine Canon 16]
Chehal se3iba ouahdani mouesoues karah ga3 el ness
Sehour el ghorba li bleni la liberté fi paillasse
Chkoun li yefham klami, hassi el kess li mor el kess
Khalini rani meplané souag ydour drogue, nhass
Chehal se3iba ouahdani mouesoues karah ga3 el ness




Sehour el ghorba li bleni la liberté fi paillasse
Chkoun li yefham klami, hassi el kess li mor el kess
Khalini rani meplané souag ydour drogue, nhass
 





 

Traduction Lwalida - Kader Japonais

 
[Kader japonais ]
Quitte à perdre mon argent et ma santé ou yaa
Quitte à tout laisser tomber ou yaa
Quoi qu'il arrive ou yaa




Maman ne quitte jamais mes pensées ou yaa
Quitte à perdre mon argent et ma santé ou yaa
Quitte à tout laisser tomber ou yaa
Quoi qu'il arrive ou yaa
Maman ne quitte jamais mes pensées ou yaa
Maman avant tout
Pas besoin de la tatouer, je la porte dans mon cœur
Maman avant tout
Pas besoin de la tatouer, je la porte dans mon cœur

[Didine Canon 16]
Mama je t'ai fatigué avec mes histoires de taule
J'ai vécu pas mal de cauchemars, y'avait que toi à mes côtés
Mama t'es la pupille de mes yeux
Nchallah j'aurai ton consentement




Plus de 100 coups au cœur
Vous pouvez même appeler les keufs
La vie à l'étranger a été dure et amère
Je n'ai pas trouvé de dulcinée
Rien n'a marché comme je le voulais
Y'avait que des zombies opportunistes
Oui c'est la vie
À jamais l'amertume gravée dans mon cœur
Marchés noirs, Boss, Trafique
Mama peu importe où j'irais, je te reviendrai
Aoueh Aoueh, même la plus snob a pécho
Aoueh Aoueh ici même le plus instruit a tout oublié
Aoueh Aoueh, je lui ai demandé, il a dit que c'est mort
Aoua oua oua oua oua

[Foufa Torino]




Personne ne pense à moi, ni ressent ma peine
Quand il fait sombre, ta lueur m'illumine
Y'a que toi qui comptes, et personne d'autres, oui je le sais
Sans toi la vie ne vaut rien, je serai perturbé
Mamaa, mamaa, mamaaa
Les soucis de la vie m'ont éloignés de toi
Mamaa, mamaa, mamaaa
Je ferai tout, rien que pour te satisfaire
Mama avant tout
Pas besoin de la tatouer, je la porte dans mon cœur
Mama avant tout
Pas besoin de la tatouer, je la porte dans mon cœur

[Didine Canon 16]
Trop dure la paranoïa, seul, dégouté de tout le monde




Malédiction de l'étranger qui m'a enfoncée, la liberté dans un paillasse com
Comprendra qui pourra, te faudra quelques verres
Lâche-moi je plane, je rode marchés noirs, drogue et cuivre
Trop dure la paranoïa, seul, dégouté de tout le monde
Malédiction de l'étranger qui m'a enfoncée, la liberté dans un paillasse com
Comprendra qui pourra, te faudra quelques verres
Lâche-moi je plane, je rode marchés noirs, drogue et cuivre
 





 


				Paroles2Chansons dispose d’un accord de licence de paroles de chansons avec la Société des Editeurs et Auteurs de Musique (SEAM)"
2,"Comme si j’n’existais pas
Elle est passée à côté de moi
Sans un regard, reine de Saba
J’ai dit Aïcha, prend tout est pour toi





Voici les perles, les bijoux
Aussi l’or autour de ton cou
Les fruits bien mûrs au goût de miel
Ma vie, Aïcha si tu m’aimes
J’irais où ton souffle nous mène
Dans les pays d’ivoire et d’ébène
J’effacerai tes larmes ou tes peines
Rien n’est trop beau pour une si belle

Oh, Aïcha, Aïcha, écoute-moi
Oh, Aïcha, Aïcha, t’en vas pas
Oh, Aïcha, Aïcha, regarde-moi
Oh, Aïcha, Aïcha, réponds-moi

Je dirai les mots, les poèmes
Je jouerai les musiques du ciel
Je prendrai les rayons du soleil
Pour éclairer tes yeux de rêves




 
Oh, Aïcha, Aïcha écoute-moi
Oh, Aïcha, Aïcha, t’en vas pas

Elle a dit garde tes trésors
Moi je vaux mieux que tout ça
Des barreaux sont des barreaux, même en or
Je veux les mêmes droits que toi
Du respect pour chaque jour
Moi je ne veux que de l’amour

Comme si j’n’existais pas
Elle est passée à côté de moi
Sans un regard, reine de Saba
J’ai dit Aïcha, prend tout est pour toi

Oh, Aïcha, Aïcha, écoute-moi
Oh Aïcha, Aïcha, t’en vas pas




Oh, Aïcha, Aïcha, regarde-moi
Oh, Aïcha, Aïcha, réponds-moi 





 


				Paroles2Chansons dispose d’un accord de licence de paroles de chansons avec la Société des Editeurs et Auteurs de Musique (SEAM)"
2,"On va s'aimer on va danser 
Oui c'est la vie lalalalala
On va s'aimer on va danser 
Oui c'est la vie lalalalala
On va s'aimer on va danser 




Oui c'est la vie lalalalala
On va s'aimer on va danser 
Oui c'est la vie lalalalala

Rani manadem ela liyam
Mahma tkuni beida elia
Rani manadem ela liyamhdro
Ana fik w fiya
aha iyeh aha iyeh ...lazem
Eljorh ybra bdwaa
Aha iyeh aha iyeh ...shra tkun
Jmila ya el hnina

On va s'aimer on va danser 
Oui c'est la vie lalalalala
On va s'aimer on va danser 
Oui c'est la vie lalalalala
On va s'aimer on va danser 




Oui c'est la vie lalalalala
On va s'aimer on va danser 
Oui c'est la vie lalalalala

Jani bchar blkahafia w galia ela li biya
w galia nta nia ghir raha nsraniya
aha iyeh aha iheh lazem el johr
ybra bdwaaaa
aha iyeh aha iyeh shra tkun
Jmila ya el hnina

On va s'aimer on va danser 
Oui c'est la vie lalalalala
On va s'aimer on va danser 
Oui c'est la vie lalalalala
On va s'aimer on va danser 
Oui c'est la vie lalalalala
On va s'aimer on va danser 




Oui c'est la vie lalalalala

hadi lila w alf lila on va s'aimer
pour toute la vie 
hadi lila w alf lila
On va s'aimer danser
C'est la la la 
C'est la vie !

On va s'aimer on va danser 
Oui c'est la vie lalalalala
On va s'aimer on va danser 
Oui c'est la vie lalalalala
On va s'aimer on va danser 
Oui c'est la vie lalalalala
On va s'aimer on va danser 
Oui c'est la vie lalalalala
On va s'aimer on va danser 




Oui c'est la vie lalalalala
On va s'aimer on va danser 
Oui c'est la vie lalalalala
On va s'aimer on va danser 
Oui c'est la vie lalalalala
On va s'aimer on va danser 
Oui c'est la vie lalalalala






 





 


				Paroles2Chansons dispose d’un accord de licence de paroles de chansons avec la Société des Editeurs et Auteurs de Musique (SEAM)"
2,"Ana abhar aaliya wintya laa
Mindeerik ib'eeda manebki aalayk
La zhar la meemoon willa rkood zain
Didi, didi, didi didi zeen iddiwaah
Didi waah, didi, didi deedi ha zin el daryag





Mindeerik ib'eeda manebki aalayk
Mindeerik ib'eeda mansaksi aalayk
Laa zhar laa meemoon willa rkood zain
Didi, didi, didi, didi didi zeen iddiwaah
Didi waah, didi, didi deedi ha zin didi

Laa baadouk aaliy lijbaal il ghaamqa
Dirn il milqa fi lijbal il ghamqa
Hezamt il maryoola aala min deryag
Didi, didi, didi, didi didi zeen iddiwaah
Didi waah, didi, didi deedi ha zin didi

Laa zhar la mimooun willa rkood zain
Laa zhar la mimooun willa qsaam zain
Qees il shibka fil bhar wibki aala lizhar
Didi, didi, didi, didi didi zeen iddiwaah
Didi waah, didi, didi deedi ha zin didi





Hezamt il maryoola aala min deryag
Rofd ahta ya mool taaksi
Hezamt il maryoola kheet sbayl
Didi, didi, didi, didi didi zeen iddiwaah
Didi waah, didi, didi deedi ha zin didi

Laa zhar la mimooun willa rkood zain
Laa zhar la mimooun willa qsaam zain
Qees il shibka fil bhar wibki aala lizhar
Didi, didi, didi, didi didi zeen iddiwaah
Didi waah, didi, didi deedi ha zin didi

Aayni ki aynik ya aynik naymeen
Aayni ki aynik ya aynik mbalgeen
Aayni ki aynik ya aynik shabbeen
Didi, didi, didi, didi didi zeen iddiwaah
Didi waah, didi, didi deedi ha zin didi





Dirn il milqa fi lejbal il ghamqa
Dirn il milqa aand il soosi jarha
Rofd ahta ya mool taaksi
Didi, didi, didi, didi didi zeen iddiwaah
Didi waah, didi, didi deedi ha zin didi 





 


				Paroles2Chansons dispose d’un accord de licence de paroles de chansons avec la Société des Editeurs et Auteurs de Musique (SEAM)"
2,"O Abdelkader ya Bouaalam daq el'hal aaliya
Dawi hali ya Bouaalam, sidi rouf aaliya
O Abdelkader ya Bouaalam daq el'hal aaliya
Dawi hali ya Bouaalam, sidi rouf aaliya aaah
Sidi Abderrahmane dir mejhoudek ou et'hassen




Ou nta rajel qa'em khdemek di remziyya
Sidi abderrahmane eddir mejhoudek ou et'hassen
Ou nta rajel qa'em khdemek di remziyya aaah

Hey!

O Abdelkader ya Bouaalam daq el'hal aaliya
Dawi hali ya Bouaalam, sidi rouf aaliya
O Abdelkader ya Bouaalam daq el'hal aaliya
Dawi hali ya Bouaalam, sidi rouf aaliya aaah
Ya sidi bou medyen
Ou ana fi ardek net'ammen
Ya sidi bou medyen
Ou ana fi ardek net'ammen
Ya sidi el-howwari... soltan ghali
Ou eshfeeni abdellah soltan l'aali ah
Eeeh... go!





O Abdelkader ya Bouaalam daq el'hal aaliya
Dawi hali ya Bouaalam, sidi rouf aaliya
O Abdelkader ya Bouaalam daq el'hal aaliya
Dawi hali ya Bouaalam, sidi rouf aaliya aaah
Daawetti el gellila... yana... dik l'mebliyya aaah
Khallitni fi hira... yana... l'aashra twila
Daawetti el gellila... yana... dik l'mebliyya aaah
Khallitni fi hira... yana... l'aashra twila

O Abdelkader ya Bouaalam daq el'hal aaliya
Dawi hali ya Bouaalam, sidi rouf aaliya

O Abdelkader ya Bouaalam daq el'hal aaliya
Dawi hali ya Bouaalam, sidi rouf aaliya
O Abdelkader ya Bouaalam daq el'hal aaliya
Dawi hali ya Bouaalam, sidi rouf aaliya aaah




O Abdelkader ya Bouaalam daq el'hal aaliya
Dawi hali ya Bouaalam, sidi rouf aaliya


لالالالالالالالالالااا...
لالالالالالالالالالااا...
لالاااا لااااا لالاااالالالاااا
Ana kil'wani wah... arwah dawi li hali
Sidi Abderrahmane dawi dawi dawi 





 


				Paroles2Chansons dispose d’un accord de licence de paroles de chansons avec la Société des Editeurs et Auteurs de Musique (SEAM)"
