Artist,Song,Lyrics,Dialect
 manal, nta,"Nhar lowel li tla9ina, 9elbi ditih w mchina f tri9 jdida 3lina
Yeddi f yeddek men dima, lyoma nta w ana wellina
Wa7ed wellina




Nta li ka t7ess ga3 b dakchi li bya
Nta bou7dek li ka t7en 3lya
Nesme7 f kolchi teb9a li ghir nta
Nta li dawiti lejrou7 l9dima
Nessitini w 3awwedti lya ga3 li mcha w tkhella 3lya

Je me voyais tourner autours de toi
J'étais dans mon coin mais tu ne me voyais pas
Mais j'étais là
T'as effacé mes doutes t'as fait ton choix
Maintenant je suis à toi, je suis à toi

3lach?! 7esdouna w bghaw yfar9ouna
3lach?! koun ghi khllawna w nsawna
3lach?! 7esdouna w bghaw yfar9ouna
3lach?! koun ghi khllawna w nsawna





Ga3 hadchi li dowwezna, kolla nhar bih 7lemna
W bih t3ellemna, eh eh eh
Bghit ngoullik ch7al men 7aja, li kan 9albi me7tajha
Li kan 9albi me7tajha
Il a su comprendre tout ce que je ne dis pas
Toutes mes douleurs mes peines et mes combats
La route et moi allons plonger dans ses bras
Et si tous nos rêves s'écroulent si tout s'en va
Loin de la gloire, sans argent sans tout ça
Je serais toujours au chaud dans ses bras

Je me voyais tourner autours de toi
J'étais dans mon coin mais tu ne me voyais pas
Mais j'étais là
T'as effacé mes doutes t'as fait ton choix
Maintenant je suis à toi, je suis à toi




 
3lach?! 7esdouna w bghaw yfar9ouna
3lach?! koun ghi khllawna w nsawna
3lach?! 7esdouna w bghaw yfar9ouna
3lach?! koun ghi khllawna w nsawna








				",0
 manal, morak,"9albi mat 
You know me
Mchat li kanet 
It's not me





9albi mat 
You know me
Mchat li kanet 
It's not me

9albi mat 
You know me
Mchat li kanet 
It's not me

9albi mat 
You know me
Mchat li kanet 
It's not me

Lkiya li datni raha morak 
W khbarek jatni ana f nharek 
Lyoma machi 3adi lyoma lefra9 




Ba3ed men wadi ghadi teghra9 
Lkiya li datni raha morak 
W khbarek jatni ana f nharek 
Lyoma machi 3adi lyoma lefra9 
Ba3ed men wadi ghadi teghra9 

Ndirlek didi didi ya 
Ana wellah machi byedi byedi ya 
Ana gha ndirlek didi didi ya 
Ana wellah machi byedi byedi ya 

Lkiya li datni raha morak 
W khbarek jatni ana f nharek 
Lyoma machi 3adi lyoma lefra9 
Ba3ed men wadi ghadi teghra9 

Hadchi kamel ba9i 9lil ma kafini 
Mazal liyam ghadi jibek bin yedi 




Darba li ka tharas ka tchafini 
Akhirtek ana nchofha bin 3ini 

Lkiya li datni raha morak 
W khbarek jatni ana f nharek 
Lyoma machi 3adi lyoma lefra9 
Ba3ed men wadi ghadi teghra9 

Ndirlek didi didi ya 
Ana wellah machi byedi byedi ya 
Ana gha ndirlek didi didi ya 
Ana wellah machi byedi byedi ya 

Lkiya li datni raha morak 
W khbarek jatni ana f nharek 
Lyoma machi 3adi lyoma lefra9 
Ba3ed men wadi ghadi teghra9 





9albi mat 
You know me
Mchat li kanet 
It's not me

9albi mat 
You know me
Mchat li kanet 
It's not me








",0
 manal, 7iya,"Jat w9itha o galt l9itek
Fi bali nhar w lil
3yubek bghitha kamla 7ytash
Klamek ydawini
7it 7na ana wyak




7it 7na ana wyak
Kberna 7na ana wyak
Fra9i 3lik lyoma kindir?

Daba 9oddamek baby d3if
Lyoma bla beek rbi3i khrif

Shafuha w galo hiya
Dafnuha w ba9a 7iya
Shafuha w galo hiya
Dafnouha w ba9a 7iya

Wili wili
Kenti dyali w lyoma de3ti li men idi
Dyab lghaba klawk liya
Dem3et 3ini
Dawk liya wakha 3arfinni nbghik u tbghini
Ah, Aah




Dem3et 3ini
Aah

Shafuha w galo hiya
Dafnuha w ba9a 7iya
Shafuha w galo hiya
Dafnouha w ba9a 7iya

Daba 9oddamek baby d3if (Aah)
Lyoma bla beek rbi3i khrif

Shafuha w galo hiya (Shafuha)
Dafnuha w ba9a 7iya (Dafnouha)
Shafuha w galo hiya (Shafuha)
Dafnouha w ba9a 7iya (Dafnouha)








				",0
 manal, tu m aimes,"t'aimes pas les filles avec trop de make up
t'aimes pas les filles qui sortent le soir, kdoubek baqi f wedni
c'est pas avec que je vais grow up
derti feha qasse7 flouwel, w khelliti koulchi




fach kan ycoufni, qelbo ydrreb bum bum bum
j'ai été trop gentille j'ai fait la pum pum pum
mais tout ca c'est fini, lyouma feqt mn noum
dert gae li fjehdi alors maintenant  je fais comme

khsssara nhar li feh mabqach kidiha fiya
mabqitch 3arfa chnou ndir ra baqa wa7la lia
kikan w ki wella mymknch kitbedel 3lia
7alfa 7ta nwerrih chkoun ana mais ghir chwia
tu m'aimes plus moi, bouhdi daba
tu m'aimes que moi ghnwerrik chkoun ana
tu m'aimes plus moi, bouhdi daba
tu m'aimes que moi ghnwerrik chkoun ana
li bini w binek sala, s7ablik ghnbqa sabra ana 3la had l7ala
3arfa chnou knswa w mabqitch 3mrni ghndirha
ghir qleb wjhek dkchy li kntsenna fih, ey




fach kan ychoufni, qelbo ydrreb bum bum bum
j'ai été trop gentille j'ai fait la pum pum pum
et ben oui c'est la vie mabqitch 3arfa chkoun nloum
nha tbghi trja3li tlqani west njoum

khssara nhar li feh mabqach kidiha fiya
mabqitch 3arfa chnou ndir ra baqa wa7la lia
kikan w ki wella mymknch kitbedel 3lia
7alfa 7ta nwerrih chkoun ana mais ghi b chwia
tu m'aimes plus moi, bouhdi daba
tu m'aimes que moi ghnwerrik chkoun ana
tu m'aimes plus moi, bouhdi daba
tu m'aimes que moi ghnwerrik chkoun ana

dehek nass fia, lik wellit ntiyeq

khssara nhar li feh mabqach kidiha fiya




mabqitch 3arfa chnou ndir ra baqa wa7la lia
kikan w ki wella mymknch kitbedel 3lia
7alfa 7ta nwerrih chkoun ana mais ghi b chwia
tu m'aimes plus moi, bouhdi daba
tu m'aimes que moi ghnwerrik chkoun ana
tu m'aimes plus moi, bouhdi daba
tu m'aimes que moi ghnwerrik chkoun ana
ghnwerrrik chkoun ana(x4)








				",0
 manal, makhelaw magalou,"Nhar sheftek 9dami, banli zhri ana
Ntaya mktabi, w nta 3ini ana
Kat7ama9ni kat7ama9ni, wmajayb khbar
Loukan bidiya, ana 9lbi nsh3l fih nar





Lyouma 7alfa b7loufi, man di ghirek ana
Wllina ma3roufin, 9ssa mabin jma3a
Kanfakar fik, kanfakar fik, bi lil wnhar
Garma mllit a3mri, khelli nas tahdar

Makhelaw magalou
Makhelaw walou fiya wfik
Makhelaw madarou
Wa kan7ebek wnmout 3lik

Makhelaw magalou
Makhelaw walou fiya wfik
Makhelaw madarou
Wa kan7ebek wnmout 3lik

Ba9a haza rassi bydih, gali n7etek frasi f3ini
Tb3t liyam ma3rft 9lbi, fin ghay wsselni
Bhitek lbar7 wlyum nsit, nbghik men jdid




 
Ya li shaghel bali, bagha m3ak nthenna
Rebi shuf men 7ali, f 9elbi sha3la jamra
Bghiti tguli nsay lmadi , lyuma nhar jdid
B9ay 7daya tri9 twila, ghanmshiw b3id
Nshuf fik khyali, wana ftriqi ghada
Nas ysoulu mali, hada 7ali ana

Kanfakar fik, kanfakar fik, bi lil wnhar
Ga3ma mllit a3mri
Khelli nas tahdar (kolchi mbarek o mas3oud)

Makhelaw magalou
Makhelaw walou fiya wfik
Makhelaw madarou
Wa kan7ebek wnmout 3lik

Makhelaw magalou




Makhelaw walou fiya wfik
Makhelaw madarou
Wa kan7ebek wnmout 3lik

Ba9a haza rasi bydih, gali n7etek frasi f3ini
Tb3t liyam ma3rft 9lbi, fin ghay weselni
Bghitek lbar7 wlyum nsit, nbghik men jdid

Makhelaw magalou
Makhelaw walou fiya wfik
Makhelaw madarou
Wa kan7ebek wnmout 3lik

Makhelaw magalou
Makhelaw walou fiya wfik
Makhelaw madarou
Wa kan7ebek wnmout 3lik







",0
 manal, 9ad bia,"Galou lia, khwi rassek ghi kathelmi
Chkhasskoum fiya, ghir houwa li bin 3eyni

Finma kent nchoufou
Ri7ou dayz m3ah dayni




 
Keffi merfou3
Waya l3ali rak 3alembi 

Wana 9elbi la sewlouh
Houwa li saken fih

Nta li Tbay3i mayhemouh
Weld bladi tay7a fih

Wakha y3yaw maghaybedlou
Ti9a li dayra fik

Lmtare9 mahma ikounou
9ad bia ou 9ada bik 

Nkhelik ana la la la la la
Nbedlek ana la la la la la la 




 
Finma kent nchoufou
Ri7ou dayz m3ah dayni

Keffi merfou3
Waya l3ali rak 3alembi 

Nkhelik ana la la la la la
Nbedlek ana la la la la la la 

Finma kent nchoufou
Ri7ou dayz m3ah dayni

Ichoufou w goulou ma hada 

W yteb3ouna ki fl3adaa

Ichoufou w goulou ma hada




 
We li dawi alina
Jaya lwe9t li twerih 

Hadchi fina 
Wakha tehreb trje3 ghir lih

Nta li kadoum
Bla mandwi nta tefhemni

Makaynch lkhouf
Waya hbibi mni tkoun jenbi

Wana 9elbi la sewlouh
Houwa li saken fih

Nta li Tbay3i mayhemouh
Weld bladi tay7a fih




 
Wakha y3yaw maghaybedlou
Ti9a li dayra fik

Lmtare9 mahma ikounou
9ad bia ou 9ada bik 

Nkhelik ana la la la la la
Nbedlek ana la la la la la la 

Finma kent nchoufou
Ri7ou dayz m3ah dayni

Keffi merfou3
Waya l3ali rak 3alembi 

Ichoufou w goulou ma hada 






W yteb3ouna ki fl3adaa

Ichoufou w goulou ma hada







",0
 manal, slay,"[Manal & Toto]
En vérité, je veux pas de cette vie là trop maquillée trop loin de la réalité
Resta sur insta, foire un petit instant personne ne saura qui t’es




Trop de choses qui font mal, faut pas verser de larmes quand t’es une célébrité
Quand je vois que je me fais imiter par la majorité

[Manal & Toto]
De ces tasse-pés qui m’offensent sans arrêt qui n’ont rien dans leur petite life
Je vous laisse même quelques dizaines d’années vous n’aurez jamais la même taille
J’aurais tant aimé leur faire la guerre, à ces cons mais j’ai même pas le time
Je préfère laisser les haineux parler, pendant qu’on m’appelle pour de la maille

[Manal]
Bnadem khassou gha fin ihder
Lfer9 li bini ou binhoum fin iban




Gouli daba ch7al men wehda galssa tsift lia des pics men cellulaire
Kay3amlouni bhal chi criminel
Kanbanlihoum bouhdi phénomène
Bghaw iteyhouni iherssouni sans résultat basta ghir goulihoum
No no, no no
Mal Manal dayra hala
No no, no no
Bouhdi west l’Empire
No no j'suis ailleurs
Je passe au niveau supérieur
J’ai pas le temps de me soucier de leur boycott
No no je te dis jsuis ailleurs

[Manal & Toto]
En vérité, je veux pas de cette vie là trop maquillée trop loin de la réalité




Resta sur insta, foire un petit instant personne ne saura qui t’es
Trop de choses qui font mal, faut pas verser de larmes quand t’es une célébrité
Quand je vois que je me fais imiter par la majorité

[Manal & Toto]
De ces tasse-pés qui m’offensent sans arrêt qui n’ont rien dans leur petite life
Je vous laisse même quelques dizaines d’années vous n’aurez jamais la même taille
J’aurais tant aimé leur faire la guerre, à ces cons mais j’ai même pas le time
Je préfère laisser les haineux parler, pendant qu’on m’appelle pour de la maille

[Manal]




Flow latino rampampampam
Men Marrakech htal Londondon
Baghi showcase jbed le montant paye moi en comptant 3ad on va s’entendre eh Ça ne fait que toc toc sur les réseaux
Chacun son monde chacun son vaisseau
Koula wechnou 3endou frassou
Ta rah ga3 mab9at fle masso
Mab9it fahma walou fhad nass ou mab9itch 3arfa ala chnou ki9elbou Kaydehkou lia fach kantla9ahoum ou ghir kanfouthoum dehri kiderbou
C’est pas que je me la pète ou le sang m’est monté à la tête
Mais j’en peux plus de leurs mots
Je veux juste faire la fête, débloquer les casses tête pour leur montrer qu’il n y a qu’une seule Go






[Manal]
Ta Mal Manal, Manal Manal Manal Manal kadir hakka
Ta Mal Manal, Manal Manal Manal Manal chab3a 3ya9a
Ta malha, tal9aha 3lina shab rassha diva
3emri ma hmeltha ma9beltha
Madayzach lia

[ Toto & Manal]
Maintenant je veux voir toutes les mains en l’air eh eh
2019 c’est ma nouvelle ère eh eh
Hna kanbedlou lgame everyday eh eh
Hit it papapapa kan9etlou lgame everyday

Maintenant je veux voir toutes les mains en l’air eh eh
2019 c’est ma nouvelle ère eh eh




Hna kanbedlou lgame everyday eh eh
Hit it papapapa kan9etlou lgame everyday

Maintenant je veux voir toutes les mains en l’air eh eh
2019 c’est ma nouvelle ère eh eh
Hna kanbedlou lgame everyday eh eh
Hit it papapapa kan9etlou lgame everyday








				",0
 douzi, laayoun aainiya,"Laayoune aynia saqia el hamra lia 
Ou el wad wadi ya sidi
Ou el wad wadi
Ou el wad wadi ya sidi
Ou el wad wadi




 
Laayoune aynia saqia el hamra lia 
Ou el wad wadi ya sidi
Ou el wad wadi
Ou el wad wadi ya sidi
Ou el wad wadi

Nemchiw fi kfouf salama, allah wa nabi wa el qoran ma3na 
Nemchiw fi kfouf salama, allah wa nabi wa el qoran ma3na 

Allah wenware leyakine sabekana
Allah wenware leyakine sabekana

Imana yehtamme imanna yehtamme koulle taghi jebarre





We3ella bladi ya sidi we3ela bladiiiiiiiiiii
We3ella bladi ya sidi we3ela bladiiiiiiiiiii

When I go back to my country
I can have a good time
I can see the ladies love me all the time
It makes me feel so fine 
It makes me feel so fine
In summertime

Laayoune aynia saqia el hamra lia 
Ou el wad wadi ya sidi
Ou el wad wadi
Ou el wad wadi ya sidi
Ou el wad wadi

W lyouuuuuuum
W lyouuuuuuum




W lyouuuuuuum
W lyouuuuuuum

Ban l7a9 inadi
Hajet lechwa9 lyoum
O batet dmou3i belfar7a tssil lyoum 
W lyouuuuuuum

W lyouuuuuuum
W lyouuuuuuum
W lyouuuuuuum
W lyouuuuuuum

Ban l7a9 inadi
Hajet lechwa9 lyoum
O batet dmou3i belfar7a tssil lyom 
W lyouuuuuuum





W 9wa nchadi ya sidi w 9wa nchadi 
W 9wa nchadi ya sidi w 9wa nchadi

Laayoune aynia saqia el hamra lia 
Ou el wad wadi ya sidi
Ou el wad wadi
Ou el wad wadi ya sidi
Ou el wad wadi

Laayoune aynia saqia el hamra lia 
Ou el wadi wadi ya sidi
Ou el wadi wadi
Ou el wadi wadi ya sidi
Ou el wadi wadi

Laayoune aynia saqia (My lady) 
Ou el wadi wadi (My niceness) 
Ou el wadi wadi (My loveliness) 





Ou el wadi wadi (I kiss you)
Ou el wadi wadi (But I miss you)

Laayoune aynia saqia el hamra lia 
Ou el wadi wadi (My niceness) 
Ou el wadi wadi (My loveliness) 
Ou el wadi wadi (I kiss you)
Ou el wadi wadi (But I miss you)

Laayoune aynia








",0
 douzi, ana maghrabi,"weld sahra, wejemel w sa9ya lhamra
wenekhel hamra ou nejma belekhder 
ana maghrabi!
weld sahra, wejemel w sa9ya lhamra
wenekhel hamra ou nejma belekhder 




ana maghrabi!

ana maghrabi, ana maghrabi,
3arbi asli ou demi maghrabi
ana maghrabi, ana maghrabi,
nebghi bladi ou ard jedebi 
ana maghrabi, ana maghrabi,
3arbi asli ou demi maghrabi
ana maghrabi, ana maghrabi,
nebghi bladi ou ard jedebi 

weld sahra, wejemel w sa9ya lhamra
wenekhel hamra ou nejma belekhder 
ana maghrabi!
weld sahra, wejemel w sa9ya lhamra
wenekhel hamra ou nejma belekhder 
ana maghrabi!





ana maghrabi, ana maghrabi,
3arbi asli ou demi maghrabi
ana maghrabi, ana maghrabi,
nebghi bladi ou ard jedebi 
ana maghrabi, ana maghrabi,
3arbi asli ou demi maghrabi
ana maghrabi, ana maghrabi,
nebghi bladi ou ard jedebi 

weld sahra, wejemel w sa9ya lhamra
wenekhel hamra ou nejma belekhder 
ana maghrabi! 








",0
 douzi, douni labladi,"Rwa7i tchofi 7ali kirani yama
3ayech we7di ghreb l berani
Kont mhani fwost 7babi yama
7ata welit 3ayech wa7dani
Douni lbladi, twa7echt 7babi, ahli w s7abi




Melit mel ghorba melit
Douni lbladi, twa7echt 7babi, ahli w s7abi
Melit mel ghorba melit

Rah el ghorba s3iba w ghedara yama
Wana fiha diya3t iyami
Kol lila 3youni sahara yama
ya rayeh wssel lslami

Douni lbladi, twa7echt 7babi, ahli w s7abi
Melit mel ghorba melit
Douni lbladi, twa7echt 7babi, ahli w s7abi
Melit mel ghorba melit
Douni lbladi, twa7echt 7babi, ahli w s7abi
Melit mel ghorba melit








				",0
