Lyrics,Dialect,Artist,Song
    شدة و تزول عادي و يصير عادي بلي نطيح نعلّي لا حال يدوم  لا ما نولي مصيري نكون شدّة نهني بلادي همّي عليها ما نلوم  يا لا لا لا يا لا لا لا يلا لا لا يلا لا لا يا لا لا لا  يامّه والله قليل كلامي و زاد كثر سكاتي خاتر قد ما نحكيلك يامّه ما يطاوقني لساني و خايف لا قدامك نبكي و تنزل الدمعة  صغير و وقت بلاني ذيوبة علينا يكيدو لينا يبيعو و انا شاري يامّة تجي فيهم نتيري خاتر ماني كي نصافي نجافيهم يامّه دوني دوني وليت كنت الباهي يمة لغيرك إنتي ما شكيت  شدة و تزول عادي و يصير عادي بلي نطيح نعلّي لا حال يدوم  لا ما نولي مصيري نكون شدّة نهني بلادي همّي عليها ما نلوم  يا لا لا لا يا لا لا لا يلا لا لا يلا لا لا يا لا لا لا  أحنا الّي من عشّاق الموت شارع عالي كبير ما علاش الصّوت نحنا اللي دعينا للعالي فشدّة الوقت يفوت أحنا لما بكيناش و حتّى كان الدنيا بخوت تربينا رجال و باقي نعيشو رجال باقي كتيبة نسطّر في الهبال باقي قلبي باهي الدنيا معايا بنت حلال بلاش *** و باقي نجيبو المال نعيش معاهم رايض أما عندي ناموسي حرب مخّي خايض أما قاري مليح دروسي نبات الليل نخمم للّي خسرت شطر زروصي و عندي أكبر أكحل دوسي  يا لا لا لا يا لا لا لا يلا لا لا يلا لا لا يا لا لا لا  ,1,,
  بايع و شاري رابح في خطاري مركيت نهاري تعرف اخباري  مصبح و ساري مطفي في ناري مانيش قاري و خليت أخباري  حياتي كل نهار نعيشو نشوفو في trip في راسي خنار يهبل 200 طبيب نحكي كل bar مالقلب و خليني deep نوم الكل طار and i dont wanna sleep وقت الكل ضاع ويني سوايعي نهج كل شبع من شبايعي فني كل طمع ديما فرايعي قلي شكون طمع مش طبايعي   money x4 power ghorba homie hani houni mtawel meme si makhatfetech kol youm nhawel chkoun li hass b halek ego a par lkhale9 houma wa9t lghasra chkoun b9alek vasy nahi lmask w efrech l cwaret njib fel money cash m3a lemarek yhebouk mwaret wallah chay ymaredh  mta3 lehwem connexion j'ai des connaisances résistance je puits dans l'essence nik l'evolution et fiston ... blech piston musique investissement nik les déguisements real je rap jusqu'a l'epuition ... c'est la crise ychofou fina statistique mas2oul bel3ou ganout fi club de c'est la street barcha khbebel b3id 3al show-biz sc ala castro masterpiece  حياتي كل نهار نعيشو نشوفو في trip  في راسي خنار يهبل 200 طبيب  نحكي كل bar مالقلب و خليني deep  نوم الكل طار and i dont wanna sleep  وقت الكل ضاع ويني سوايعي  نهج كل شبع من شبايعي  فني كل طمع ديما فرايعي  قلي شكون طمع مش طبايعي  ناس تعيش و ناس تموت مترجعليش كي يفوت الفوت ساهل و صعيب يا تصيب يا تخيب أنتج و جيب فحج الغريب و عبي القوت معنديش في مخي فكرة الانتحار في بصمة نخلي قاصد ربي في سبيل ايمار راسي كي الحجرة ديما نعيش عكس الطيار يمكن بالفطرة ولا ملي ريناه و أحنا صغار من زك الطبعة للمطار موش أحنا لي عملنا العار أحنا السكة و القطار   كيما نلقي حتي بار نعيش و نعيش ليسار و ماك تعرفني مانيش غدار كي العباد بلاش مبقطة investina في رواحنا أفكار في مخاخ ذهب مرقدة خلصنا الكرز وعبثنا بالمخاخ لمعقدة نعاود الفيلم أما ما نعاودش اللقطة  بايع و شاري  رابح في خطاري  مركيت نهاري  تعرف اخباري  مصبح و ساري  مطفي في ناري  مانيش قاري  و خليت أخباري  حياتي كل نهار نعيشو نشوفو في trip  في راسي خنار يهبل 200 طبيب  نحكي كل bar مالقلب و خليني deep  نوم الكل طار and i dont wanna sleep  ,1,,
 والله دنيا صعيبة زيد الناس غريبة ‎نعيشو في تركيبة. قلي وين الطيبة ‎خانوني  عطيتهم قلبي و خانوني ‎خلوني  بعيد و وحدي خلوني ‎بقانوني. نعيش معاهم بقانوني ‎هالوين. كلها تمسكي هالوين  Freek :  مهما حياتي صارت صعبة مافكرت انهيها بلحظة شفت الماضي راح بلمحة نفهم جرحة الوالدة بدمعة  متربي بالحومة فاهم اللعبة مستحيل يعدونا ندخل الساحة كل العالم مرعوبا حاطط بصمة عشان ما ينسونا  الثقتي بينهم معدومة خذها مني معلومة  خطواتهم مدروسة يعيشوا احرار وعقولهم مسجونة  بعد الصدمة دور مين يسحبني من الحفرة صرنا نعطي الناس كلها حجرة تبعد ميني لما تسمع النبرة  على مين تعملوا هكا انتو على مين خانو مين نحرق العشرة بجازولين  ‎خانوني  عطيتهم قلبي و خانوني ‎خلوني  بعيد و وحدي خلوني ‎بقانوني. نعيش معاهم بقانوني ‎هالوين. كلها تمسكي هالوين  ‎خانوني  عطيتهم قلبي و خانوني ‎خلوني  بعيد و وحدي خلوني ‎بقانوني. نعيش معاهم بقانوني ‎هالوين. كلها تمسكي هالوين  ALA  ‎علاش ماحسبونيش منهم ‎ وانا حاسب روحي منهم Good vibes لي عاطينهم ‎هما يطيحو وإنا نشيلهم ‎قلي مانيش ماشيلهم ‎عملو وماناش ناسينهم ‎نعرف الي لكل مني و نعرف الي ماهوش منهم ‎لا ما ننكرش Bad biches on me ‎وانا فالبرج Bad biches only وانا في الفرش Feeling like tony وانا في ال بورش ‎مكمل ورايا لا منغزرش Gang لي معايا لا منخسرش Life is fast وانا لا منصبرش Life is cash وانا لا منغدرش ‎صحابي لا انا منضرش ‎صاحبي خاطيك اخطاني  I know everything about money yeah yeah Fi top صعيب تراني You need me تو تلقاني yeah yeah ‎صريح حكيت لي جرالي نعرف لي قيمتي غالي yeah yeah Walalo Freek w Sam my brothers بالصومالي yeah yeah   ‎والله دنيا صعيبة زيد الناس غريبة ‎نعيشو في تركيبة. قلي وين الطيبة ‎خانوني  عطيتهم قلبي و خانوني ‎خلوني  بعيد و وحدي خلوني ‎بقانوني. نعيش معاهم بقانوني ‎هالوين. كلها تمسكي هالوين  ,1,,
     دنيا تحب الكاش كيما الانثى تحب الرانج نحكي فالي تعاش ميساجات الي مقراش شكون الي تعب وعاش بلادك كلها فالإنعاش نستنو الفراج تونس طلعت dépannage Mehdi machfer on the beat  دنيا تحب الكاش كيما الانثى تحب الرانج نحكي فالي تعاش ميساجات الي مقراش شكون الي تعب وعاش بلادك كلها فالإنعاش نستنو الفراج تونس طلعت dépannage إقلب الباج برشا طلعت double face شريناهم بالغالي اما جاو رخاس تقلب الراس بين الي بلعو والي كلام تقاس شريناهم بالغالي اما جاو رخاس ضحكولي في وجهي سبوني في ضهري وضحكولي في وجهي قالو جيت بزهري وانا عاطي واجبي نخدم عامي و شهري وباقي لتوا نجري وأنا باقي نجري طالع كيما حواجبي ذكيا في عينيا و عالي كيما خشمي ما تحكمش عليا العالي وحدو judge me ما نضلمش وتغلط فيا تتوحشني Legend تعرف حجمي حار مانيش مسكي نعمل فوضة في وسط البار كيما الوسكي نجيب في فلوس مال rap وما نحبش نرسكي صافي وكان الرب يعرف آش في وسطي نبقى ديما مستوي دنيا تحب الكاش كيما الانثى تحب الرانج نحكي فالي تعاش ميساجات الي مقراش شكون الي تعب وعاش بلادك كلها فالإنعاش نستنو الفراج تونس طلعت dépannage إقلب الباج برشا طلعت double face شريناهم بالغالي اما جاو رخاس تقلب الراس بين الي بلعو والي كلام تقاس شريناهم بالغالي اما جاو رخاس   ڨالڨ هات كويس زيد اعطيني نفيس طريقي مش مكيس حديثي مش مسيس ناس تحب tvaies (visa) وين لكرز علينا تفيس زيد وصلها لقيس تن*ك امو ولاني مأيس خاطر كابر تحت حيط نبيس عايش نستنى في price نحبو فلوس ice Fu*k الخدمة والبلايص نحبو عيشة nice حتى مرة مش twice وضعك مش كويس كان الفلوكة ووين الرايس كلها easy فالتأسيسي ناس كل تشيش فاش nvisi ناسي busy بالخبزة الي تعيش تحب تميزي تمشي زيزي كي تعمل نقيش يحبوك لوطة تعيش تساسي فالقهاوي مطيش دنيا تحب الكاش كيما الانثى تحب الرانج نحكي فالي تعاش ميساجات الي مقراش شكون الي تعب وعاش بلادك كلها فالإنعاش نستنو الفراج تونس طلعت dépannage إقلب الباج برشا طلعت double face شريناهم بالغالي اما جاو رخاس تقلب الراس بين الي بلعو والي كلام تقاس شريناهم بالغالي اما جاو رخاس  ,1,,
  تزعز خاطري في نص الليل روحت شوار اللي بيا اسيادي كيفاش تميل سحرت عقلي و عينيا  تفكرتك في نص الليل أه فاض الكاس و فاض الكيل أه المخ تعب القلب يشيل أه بسمة الداخل تو تسيل  وينك cv شنيا لمور طمني عليك قلي توا وين الدور كيفاش نلقاك راني مهبول صبري اللي طال و انا نبات الليل ندور  تخمامي و ليللي طار لا منرقدش اياممهم مسمعتش قيل و قال لا منسمعش كلامهم اللي باش يصير و صار ماتفجعنيش افلامهم وقتي مانيش retard تو تلقاني قدامهم انا اللي مشيت بنيتي معاك اما انتي هكا اللي حبيت مشيت وضيعت ثنيتي وراك رابيت و قلت اللي حسيت خيالك في نص الليل نراك ديما في مخي راك بقيت محسن اللي عندو رجال وراه عمري مانسيت منين بديت وين بديت باقي التو مارخيت تحت الحيط كيسوفريت رجال لقيت جبت الخيط حاضر عمري مارخيت علاش بطيت ناخذ وقتي نجيب الhit  تزعز خاطري في نص الليل روحت شوار اللي بيا اسيادي كيفاش تميل سحرت عقلي و عينيا  تفكرتك في نص الليل أه فاض الكاس و فاض الكيل أه المخ تعب القلب يشيل أه بسمة الداخل تو تسيل وينك cv شنيا لمور طمني عليك قلي توا وين الدور كيفاش نلقاك راني مهبول صبري اللي طال و انا نبات الليل ندور   اااه قلي توا وين وقت تعدا نحب نجيك صابر توا سنين اااه قلي توا وين قلبي تعبا عليك و ليك مانيشي machine  عندي في صدري نار توحشتك برشا و بغلاطك برشا اما انا نسيت اللي صار قتلك بالفرشا حبيتك ترجع موش بيدي بش نختار فحشت الدرجة صعيب كان بش نرجع خاطرني مشيت so far خاطرني مشيت so far  كلام معاني و الليل يسهرلو اللي عاني تفرح كيتراني و تغيب غدوة تجي في احضاني مانيش شراني و تغيظ كي تمشي لبراني صبرني العالي كينتوب يغفرلي افعالي  تزعز خاطري في نص الليل روحت شوار اللي بيا اسيادي كيفاش تميل سحرت عقلي و عينيا  تزعز خاطري في نص الليل روحت شوار اللي بيا,1,,
   Why you acting so cold حكييت بلي حكيت اما انت مافهمتنيش اما هاي الرقية so good مشيت هاك مشيت انا بالش بيك نعيش Baby نحب نوليrich كيما rodireich لضلموني لا منسيتش انا لا منسيتش جات الكورة مارتيتش كيما راكيتيتش قلبي معبي ب1000 speach اما لا محكيتش Baby نحب نولي star ونفرح الدار نحب الحومة ملي صغار و نشرف الجار شاقي و ماشي فوق النار خير من اللي بطال ايجا نقلك عالغنار شارع فيه ابطال  طاير بلاشي ريش كيما ابراهيموفيتش شكاير و تمهميش لين عينيك النور ما تريش لاموني كيفاش نعيش حسدوني كيفاش نعيش ماتنساش و ماتنسيش عندي يجي كان اللي ميجيش شكون اللي قال بلابيك الشمس تغيب شكون اللي قال و قتلي نمشي يعني مني العيب الاحلام افعال واللي يعطل ميوليش حبيب لكلام اللي تقال كيتعاود معندو مايجيب ممكن اليوم ولينا نعيشو غير من بارح مش كل البارح و لا اكبر اليوم من داخل كلدي يحسوني كنبدا سارح تعلمت نعيش الفرحة كان كنصبر عالهموم  Why you acting so cold حكييت بلي حكيت اما انت مافهمتنيش اما هاي الرقية so good مشيت هاك مشيت انا بالش بيك نعيش Baby نحب نوليrich كيما rodireich لضلموني لا منسيتش انا لا منسيتش جات الكورة مارتيتش كيما راكيتيتش قلبي معبي ب1000 speach اما لا محكيتش Baby نحب نولي star ونشرف الدار نحب الحومة ملي صغار و نفرح الجار شاقي و ماشي فوق النار خير من اللي بطال ايجا نقلك عالغنار شارع فيه ابطال  مافهمتنيش قتلك غدوة قتلي مايهمنيش ماسمعتنيش تحب نراك توا لا منجيش ماقناعتنيش مانفاعتنيش ماللول ميجيش مش وقت طيش حاب نعيش مشيت عرفت نعيش امي فرحانة نمد مصروف ولدي معروف في كل لسان قلمو علم للي مد كفوف نحكي خدمة خاطر خطي ماعادش كيوف كل سطر يوصي قلبي بش يكره الخوف خلط برشا خلاط لحبوني لحبوني خذاو يخاطري مشات الناس لحلفة باش تبقى عمرها ما بقاتلي why i'm acting so cold الشيخة عطاتني كنويت بش نعطت باز الخطة عندي عطتني  Why you acting so cold حكييت بلي حكيت اما انت مافهمتنيش اما هاي الرقية so good مشيت هاك مشيت انا بالش بيك نعيش Baby نحب نوليrich كيما rodireich لضلموني لا منسيتش انا لا منسيتش جات الكورة مارتيتش كيما راكيتيتش قلبي معبي ب1000 speach اما لا محكيتش Baby نحب نولي star ونفرح الدار نحب الحومة ملي صغار و نشرف الجار شاقي و ماشي فوق النار خير من اللي بطال ايجا نقلك عالغنار شارع فيه ابطال ,1,,
   دنيا مبعدك ماتسواش برشا كلام ما تحكاش  دنيا مبعدك ماتسواش برشا كلام ما تحكاش نحب نقلك ماتنساش انا و انت حكاية ماتوفاش  دنيا مبعدك ماتسواش برشا كلام ما تحكاش نحب نقلك ماتنساش انا و انت حكاية ماتوفاش  Nooo Nooooooo انا وانت حكاية ماتوفاش Nooo Nooooooo انا وانت حكاية ماتوفاش  زينك و لا قلبك اللي يسحر نهرب من تخمامك نمشي نسكر نشوف في خيالك حتى في كسان الوسكي ديما فبالي كيما الروح اللي في وسطي Noooo نحكي معاك مالخر هاذي ميزتي حاب نعيش معاك و منحبش نرسكي نجيبو برشا صغار و نقسم معاكم رزقي انت الوردة نعدي عمري فها نسقي يااااااا Shawty فاض الكاس وانا اللتو لوفيت عشت معاك احساس قلي الكلو فين ميهمنيش الناس إيش يقولو فيك أنا ميهمنيش الناس إيش يقولو فينا أنا عطيتك وقتي بكلو و قيما راجل عرضك أنا نسونو ديما ميهمنيش فيه شكونو شبينا  دنيا مبعدك ماتسواش برشا كلام ما تحكاش نحب نقلك ماتنساش انا و انت حكاية ماتوفاش  دنيا مبعدك ماتسواش برشا كلام ما تحكاش نحب نقلك ماتنساش انا و انت حكاية ماتوفاش Nooo Nooooooo انا وانت حكاية ماتوفاش Nooo Nooo No Noooo انا وانت حكاية ماتوفاش  كيش تتعدا معاك السوايع فيسع تغلى الدنيا قدم رخيصة قتلك ألف خطوة و لا تنڨيزة نعيش في غدوة باقي منسيتش اللي صار أوووه مانيش ناسي صبرت و طال عذابي أما توا فايض كاسي نحس في روحي و حدي حتى وأنا معايا ناسي وقيت بش نحكيلك موش نخبي في إحساسي هبلت وزاد ستراسي متوحش وماجيتش نلوم صحيح الكذبة تنجي اما ماهيش باش الدوم سكنتلي في مخي كيف البارخ كيف اليوم أنت شيخة راسي خير مالكوكة و الأفيون بعدك عشت عذاب اليل قلبي شاعل فيه النار محسن حب و شاف الويل أما كره الإنتضار تعرف اللي الصف طويل أما إنت اللي نختار حبيتك ma family مش نعمر بيك الدار دنيا مبعدك ماتسواش برشا كلام ما تحكاش نحب نقلك ماتنساش انا و انت حكاية ماتوفاش  دنيا مبعدك ماتسواش برشا كلام ما تحكاش نحب نقلك ماتنساش انا و انت حكاية ماتوفاش Nooo Nooooooo انا وانت حكاية ماتوفاش Nooo Nooo No Noooo انا وانت حكاية ماتوفاش,1,,
"  ""في سماية غيمة و ليلي و القمرة ما ريت شبي عينك حزينة كان باعو هوما انا اللي شريت  شنية ذنبي كي قلبي فيوم بغاك ضد الناس لكل وحدي اللي كنت وراك ضد الدنيا و لا فرق بينا المكتوب باقي كل ما تشوفك عيني نحس ب trac  نغمظ غيني و غير انتي الي نشوف مبين وسط صحابي نحبك بالمكشوف نظهر قارح جنبك و انا ميت بالخوف لا يجيني يوم و تصير انتي غريبة غريبة قلي وينك و انا الارض نفوت و نجيك تحط جبينك في قلبي و يدي على يديك  و الله صعيبة صعيبة  ما تراكش عيني و تمر سنيني و انا اللي حالف بامي ما نخليك  دنيا غير اعمل مرة فينا معروف و الله ياما بينا لعبت الظروف بعّد شر عبادك علينا ما بقاش معزة للحرير في بلاد الصوف   و الله جاك نهار وليت يا نحاس غالي كيف ذهبا فيوم و ليلة رخاص شاب شعر الراس سمعنا برشا كلام سمعنا براشا كلام و نحنا ديما passe نحنا ديما passe نحنا ديما passe نحنا ديما passe  ماضيك ماضيك راضي بيه و راضي بيك و راضي بالوشمة اللي صورت على يديك و بلي قالو عمري ما نعطيك حتى و انتي غريبة غريبة قلي وينك و انا لارض نفوت و نجيك تحط جبينك في قلبي و يدي على يديك  و الله صعيبة صعيبة  ما تراكش عيني و تمر سنيني و انا اللي حالف بامي ما نخليك ""  ",1,,
   كي نشوف اللي صار نعرف اللي كلو مني كيف نشوط باليسار اعرف اللي وكون مهني كي يطول الانتظار اعرف اللي دولة تمني كي يكون انتصار يخرج الـPublique يغني X2  ماو في بلاد كي النمي نقد وجهلو فني كي نشوط باليسار اعرف اللي وكون مهني تحكم ناس كي النمي مش لازم نسمي كي نشوف اللي صار نعرف اللي كلو مني  حياتي Trap كيما الـMovie، من لي صار جبت حروفي من لي صغار ديما كيوفي، بري حار جبت طروفي كالكبار كرمت ضيوفي، نحكي بار كان المفيد    حيط معبي لكلو Trophies ، لي سبونا ماهم خرو  فيييه  في زمان الكوارث جينا فعالم ثالث كل واحد منين يشوف فيه لا كرزة لا وارث ماجانيش المارد ربي يعلم بظروفي بلاد القلب البارد كيما المخ الشارد برشا طحين وبرشا تنوفيق صعيبه لين سهالت خدمة ليالي طوالت خلي زهر كان للنوفي..  كي تشوف لي يحب يولي وكي تشوف لي مولي كي تشوف لي قدرو معلي وكي تشوف لي مخلي كي تشوف لي الخبزة مغلي وكي تشوف لي مدلي ‏Kitchen وانا نبات نغلي وتو تشوفني شن نولي  كي نشوف اللي صار نعرف اللي كلو مني كيف نشوط باليسار اعرف اللي وكون مهني كي يطول الانتظار اعرف اللي دولة تمني كي يكون انتصار يخرج الـPublique يغني  ماو في بلاد كي النمي نقد وجهلو فني كي نشوط باليسار اعرف اللي وكون مهني تحكم ناس كي النمي مش لازم نسمي كي نشوف اللي صار نعرف اللي كلو مني  اووووووو ووووو ووو X4  حكيت اللي في قلبي، تمرجت كبدتي ‏No ماكنتش سلبي، motivate الـ Team من الناس اللي شقات للناس اللي لقات يبقى كان الـgod، قل لكالسقاط  ربي يجيبلي حقي وامسح باللي سقط شكون همو مصلحتي الكلها تستقات محسن مانيش وحدي مع ناسي اللي بقات الاصل ناسي صحتي، خدمة بلاش قعاد  راجل بديت ونلعب نظيف، بديت تحت الحيط نولع في كيف نتبع الخيط ونمنع الـميف انسمع الحوم ونسمع فالريف نشنع الصيف ونمنع الخريف، تقولش2pac Back خدمة تاك تاك، فلوس في backpack فاك الـ beef  كي نشوف اللي صار نعرف اللي كلو مني كيف نشوط باليسار اعرف اللي وكون مهني كي يطول الانتظار اعرف اللي دولة تمني كي يكون انتصار يخرج الـPublique يغني  ماو في بلاد كي النمي نقد وجهلو فني كي نشوط باليسار اعرف اللي وكون مهني تحكم ناس كي النمي مش لازم نسمي كي نشوف اللي صار نعرف اللي كلو مني ,1,,
 كحلة و بيضة كالبيانو حياتي كيما الميلودى يااه يااه كحلة و بيضة كالبيانو حياتي كيما الميلودى نخاف كان من ربي سبحانو الباقي كل يدو فيه fuck الدولة و fuck القانون الكرسي وال politique محسن غارق ماشي فنو 500 killo deepجمومبا نقابل الدنيا بصدري هكذا جاية الكومبا شايد سابع روحي من العشرة المجونبا مايركا نابولي طرافيكو في الغربة زهري ماشي انبان امبركيني و جرداان خلووني صااقط انا صاااقط اكم قلتوو تتعرفووني فقت كان بالوقت الي لاوم تنسووني عرفت مخي حرقت مالي سماايا بنجوومي انا ما نبدلش لووني *2ما علابالي بلي حاالوfuck لطيح هذا الجيل كل واحد يسوى ميزاانو قيس الكفة حد الكييل اون كاا احفظ الميم كمل عاقل ولا سوفااج حنا نديتورنو الصافي كبرنا على البراكاج جاي من وسط المووتى حارق كاع ليزاباجطريقي مشيتها حافي كنت نتكى بلاراج راك تعرف اللونقاجمتع ولاد السطااش..بلاد نفاق و contraste سبوني في ظهري علااش ما جااوش اون فااس كلها دوبل فااس قلي شكون i can trust محسن ديما وااقف ما على بالي اون باس مشا في بالهم كومباس نساو لدنيا ادووور نسساو الي اتون بااس شيخاا في راسي فوتالز عندي فيها touch باز ياش نكوون ترااس خليني طااير اماما تشعل الدنيا فاير امامامن تونس لجزاائر اماما اماما اماما اماما خليني طااير اماما تشعل الدنيا فاير امامامن تونس لجزاائر اماما اماما اماما اماما  ,1,,
